திரைப்படம்,பாடலாசிரியர்,இசையமைப்பாளர்,பாடல்,வருடம்,பாடியவர்கள்,பாடல்வரிகள்,மதிப்பீடு,வகை,நுகர்ச்சி
காலா,"டோபேடிலிக்ஸ், லோகன்",சந்தோஷ் நாராயனன்,நிக்கல் நிக்கல் சால் திரி,2018,"['டோபேடிலிக்ஸ்', ' விவேக் and அருண்ராஜா குமராஜ்']",இது எங்க கோட்டை உள்ள வந்தா வேட்டை  ஒரு விசில் ஒண்ணு அடிச்சாக்கா கிளம்பும் பேட்டை  இங்க சிறிசு கூட பண்ணும் பெரிய சேட்டை  எங்க பெரிசுங்க வந்தாக்கா மாத்து ரூட்ட  நிக்கல் நிக்கல் ஜல்தேரே நிக்கல் நிக்கல் நிக்கல் நிக்கல் ஜல்தேரே நிக்கல் நிக்கல் நிக்கல் நிக்கல் ஜல்தேரே நிக்கல் நிக்கல் நிக்கல் நிக்கல் ஜல்தேரே நிக்கல் நிக்கல்  டேய் கெளம்பு கெளம்பு  அந்த போச்சு  கெளம்பு கெளம்பு கெளம்பு டா-போடா  விடிஞ்சிருச்சு-ஆமா கெளம்புடா  பதுங்கி அடங்கி வாழ நாங்க இன்னும் ஸ்லெவா துணிஞ்சு எதிர்த்து நிப்போண்டா நாங்க எப்பவோ ப்ரேவா நிலைமைய மாத்துறேனு நிலத்த ஆட்டைய போடுற நம்பிக்கை மோசடி செஞ்சுபுட்டு எங்க ஒளிஞ்சு ஓடுற ஏழையோட வயித்துல அடுச்சு பேங்க் பேலன்ஸ் ஆ ஏத்தாத முகமூடி போட்டுக்கிட்டு  பொய் பித்தலாட்டம் பேசாத எங்களோட ஓத்தும துரும்பு பிடிக்காத இரும்புடா உன் கனவு எல்லா இங்க பலிக்காது  கெள கெள கெள கெளம்புடா  நிக்கல் நிக்கல் ஜல்தேரே நிக்கல் நிக்கல்  ஜல்தேரே நிக்கல் நிக்கல்  டேய்  கெளம்பு கெளம்பு கெளம்பு டா-போடா  விடிஞ்சிருச்சு-ஆமா கெளம்புடா  கெளம்பு இங்க நடக்காது உங்க அலும்பு  ரொம்ப வச்சிக்காத ஓரம் ஒதுங்கு சும்மா டை ஆ காட்டி நாலு  பைலை ஆ தூக்கி வந்து சிக்கிக்காத வீணா விலகு நீ அடங்கு-மாஸ்சு  இது எங்க காலம் அதா உணர்ந்து தொட நினைக்காது இந்த ஒடம்பு திருப்பி குடுத்த  தாங்க மாட்ட டேய் வந்த வழிய பாத்து கெளம்பு  டேய் கெளம்பு கெளம்பு  அந்த போச்சு  கெளம்பு கெளம்பு கெளம்பு டா-போடா  விடிஞ்சிருச்சு-ஆமா கெளம்புடா  டேய்  நிக்கல் நிக்கல்  கெளம்புடா  நிக்கல் நிக்கல்  கெளம்புடா நிக்கல் நிக்கல்  கெளம்புடா  டேய்..,4,காதல்பாடல்,4602
அடங்காதே,பார்வதி,ஜீ.வி. பிரகாஷ் குமார்,​நிலத்தில் நடக்கும்,2018,['சந்தோஷ்'],நிலத்தில் நடக்கும் நிலவை கண்டேன் சிறகு இரண்டு முளைத்து நின்றேன் எதற்கு பிறகு வேதனை கொண்டேன் சிரிக்க மறுத்த அமுதம் தின்றேன்  நிலவின் ஒளியை மறைப்பதேது மனதில் இருட்டை இறைக்கிறது என் பௌர்ணமி எங்கெ தேடுகிறேன் என் வானத்தில் தூண்டிலை வீசுகிறேன்  பிறையென அது தெரிகிறதா என் கனவினை வெட்டி சாய்க்கிறதா முளைத்த சிறகும் முறியும் என்றால் பறவையின் கதி என்ன...  இதயமும் இன்று கணக்கிறதே பழு என்னை சுற்றி இழுக்கிறதே மறத்தல் இனியும் சாத்தியம் தானா நடக்கும் நிலையும் போகவைத்தெனா  உயிரை துறந்த உயிர் அணுவே தினமும் வரும் என் பகற் கனவே இனியும் எதற்கும் வேலை இல்லை உன் பணிகள் எனக்கு தேவை இல்லை  வழி ஒன்று வரும் வேளையிலே என்னை காணவில்லை என்று நொறுங்குவேன் வழியை திறக்க முடியுமா... உயிரே என் உயிரே,5,மெல்லிசைபாடல்,3104
அடங்காதே,சிவ கங்கா,ஜி. வி. பிரகாஷ் குமார்,நிலவின் நிறமும்,2018,['ஜோதி'],நிலவின் நிறமும் வண்ணம் கொள்ள பிறையின் வளைவும் எண்ணம் சொல்ல எப்படி என்னுயிர் காதலை சொல்வேன் உயிரை அனுப்பி இதயம் வெல்வேன்  நிழலின் வரவை தடுப்பதேது உள்ளத்தில் அணுவும் துளிர்க்கிறது உன் பார்வையை இதுவரை தொலைக்கவில்லை என் போர்வையில் காதலை மதிக்கவில்லை  கனவும் நினைவும் களையுமா என் உயிரும் உணர்வும் நிலைக்குமா எதனை காலங்கள் இதயம் உறையும் மைய்யலை அறிய வா வா  கிளையை தேடும் பறவை நானே உன் சிறகில் அமர தவிக்கிறேனே நகர்ந்து உன்னிடம் சேர்ந்திடுவேனோ அணைத்து அருகில் வாழ்ந்திடுவேனோ  எதிர்த்த திசையில் பறந்து சென்றாய் சிவந்த இறகை உதிர்த்து போனாய் மறையும் பொழுதினில் மாற்றமில்லை உன் நினைவு உயிரை தேற்றவில்லை  உயிர்விடும் இந்த நொடியிலே உன் முகம் கண்டுகொள்ள ஏங்கிடுவேன் இறுதி முத்தத்தை தந்திடவே வந்திடு நீ எந்தன் அன்பே,3,குத்துபாடல்,4039
96,கார்திக் நேதா,கோவிந் மேனன்,நீ அந்தாதி,2018,"['சின்மயி', ' கோவிந் வசந்தா', ' பத்ரா ரஜின் (கர்நாடக பகுதி)', ' எம் .  நாசர்']",பேரன்பே காதல் உளநோக்கி ஆடுகின்ற ஆடல் சாதா... ஆறாத ஆவல்  ஏதேதோ சாயல் ஏற்று திரியும் காதல் ப்ரத்தியேகத் தேடல் தீயில் தீராத காற்றில் புள் பூண்டில் புழுவில் உள்ளத்தில் இல்லத்தில்  தானே எல்லாமும் ஆகி நாம் காணும் அருவமே இத்தியாதி காதல் இல்லாத போதும் தேடும் தேடல் சதா...  மாறாது காதல் மன்றாடும் போதும்  மாற்று கருத்தில் மோதும் மாளாத ஊடல் ஆஅ...  நாம் இந்த தீயில் வீடு காட்டும் தீக்குச்சி நாம் இந்த காற்றில் ஊஞ்சல் கட்டும் தூசி  நாம் இந்த நீரில் வழக்கை ஓட்டும் நீர் பூச்சி நாம் இந்த காம்பில் காமத்தின் ருசி  காதல் கண்ணீரில் சிலந்தி காதல் விண்மீனின் மெகந்தி காதல் மெய்யான வதந்தி காலம் தோறும் தொடரும் டைரி காதல் தெய்வீக எதிரி காதல் சாத்தானின் விசிடி காதல் ஆன்மாவின் புலரி வாழ்ந்து பெற்ற டிகிரி  ஓர்... விடைகுள்ளே... வினாவெல்லாம்... பதுங்குதே...  ஆஅ... நாம்... கரைந்ததே... மறைந்ததே... முடிந்ததே... ஆஅ...  ஆஅ... கொஞ்சும் பூரணமே வா நீ... கொஞ்சும் எழிலிசையே  பஞ்ச வர்ண பூதம் நெஞ்சம் நிறையுதே காண்பதெல்லாம் காதலடி ஈஈ... காதலே காதலே தனி பெருந் துணையே கூட வா கூட வா போதும் போதும்    காதலே காதலே வாழ்வின் நீளம் போகலாம் போகி வா நீ...  ஆஅ... திகம்பர... வலம்புரி... சுயம்பு நீ... நீ...  ஆஅ... பிரகாரம் நீ... பிரபாவம் நீ... பிரவாகம் நீ... நீ...  ஆஅ ஆஅ... ஸ்ருங்காரம் நீ... ஆங்காரம் நீ... ஓங்காரம் நீ... நீ...  நீ... அந்தாதி நீ... அந்தாதி நீ... அந்தாதி நீ... நீ...  ஹ்ம்ம்... தேட வேண்டாம் முன் அறிவி பின்றி வரும் அதன் வருகையை இதயம் உரக்க சொல்லும்  காதல்... காதல் ஒரு நாள் உங்களையும் வந்து அடையும் அதை அல்லி அணைத்து கொள்ளுங்கள்  அன்பாக பார்த்து கொள்ளுங்கள் காதல் தாங்கும் காதல் தயங்கும் காதல் சிரிக்கும் காதல் இனிக்கும்  காதல் கவிதைகள் வரையும் காதல் கலங்கும் காதல் குழம்பும் காதல் ஓரளவுக்கு புரியும் காதல் விலகும் காதல் பிரியும்  கதவுகளை மூடாமல் வழி அனுப்புங்கள் காத்திருங்கள் ஒரு வேலை காதல் திரும்பினாள் தூரத்தில் தயங்கி நின்றாள் அருகில் செல்லுங்கள் அன்புடன் பேசுங்கள்  போதும்... காதல் உங்கள் வசம் உள்ளம் காதல் வசம் மாற்றங்கள் வினா மாற்றங்களே விடை காதல்...,5,காதல்பாடல்,591
அடங்காதே,கபிலன்,ஜி. வி. பிரகாஷ் குமார்,நீ இன்றி நானா,2018,['சிந்துரி விஷால்'],நீ இன்றி நானா நான் நீ ஆகுவேனா இது காலம் தாண்டி வாழும் காதலே  நீ விண்ணைத்தாண்டி போனால் நான் என்னுள் உன்னை காண்பேன் உன் கண்ணில் மௌன காதல் பேசுவேன்  நி ச க ச க ச நி ச க ச க ச நி ச க ச க ரே நி ச க ச ரி ப  நி ச க ச க ச நி ச க ச க ச நி ச க ச க ரே நி ச க ச ரி ப  அலைந்தேன் தொலைந்தேன் நம் வானம் பூமி மாறவே பிறந்தேன் தொடர்ந்தேன் உன்னோடு ஒன்று சேரவே  அன்பே அன்பே கண்டேன் உன்னை என் மூச்சும் பேச்சும் தீர்ந்ததே கண்ணால் கண்ணால் காதல் சொல்ல உன் பார்வை மீண்டும் வேண்டுமே  ஹ்ம்ம்...ம்ம்ம்....ம்ம்...ம்ம்ம்... ம்ம்ம்...ம்ம்ம்ம்...ம்ம்ம்ம்.... ஹ்ம்ம்...ம்ம்ம்....ம்ம்...ம்ம்ம்... ம்ம்ம்...ம்ம்ம்...ம்ம்ம்....ம்ம்ம்....ம்ம்... ஓஹோ....ஓஒ...ஓஒ....ஓஒ (3) ஓஹோ....ஊ...ஓஹோ...(2)  கை நீட்டும் தூரத்தில் உன்னை நான் கண்டேனே கையோடு கைரேகை கலந்திடுமா உன் காதல் இல்லாமல் என் காதல் சொல்லாமல் உன் தூரம் என் பாதம் கடந்திடுமா  உனக்காய் இருப்பேன் என் ஆயுள் காலமே அதை நீ புரிந்தால் என் ஆயுள் நீளுமே  அன்பே அன்பே உன் மௌனம் என்ன உன் மாற்றம் தோற்று போகுமே கண்ணால் கண்ணால் காதல் சொல்ல உன் பார்வை மீண்டும் வேண்டுமே  நி ச க ச க ச நி ச க ச க ச நி ச க ச க ரே நி ச க ச ரி ப  நி ச க ச க ச நி ச க ச க ச நி ச க ச க ரே நி ச க ச ரி ப  உன் நெஞ்சில் என் ஓசை உண்டான பின்னாலே என் காதல் கண்ணாடி உடைந்திடுமா என் சுவாசம் உன் மூச்சில் என்றே  நீ சொன்னாயே உன் வார்த்தை என் ஜீவன் மறந்திடுமா  தவணை முறையால் என் காதல் சொல்கிறேன் மறந்தே இருந்தே நீ என்னை கொல்கிறாய்  நீதான் இல்லை எங்கே செல்ல நான் கண்ணீர் தீயில் மூழ்கிறேன் உன்னை என்னை ஒன்றாய் செய்ய ஓர் காதல் தெய்வம் வேண்டினேன்  நி ச க ச க ச நி ச க ச க ச நி ச க ச க ரே நி ச க ச ரி ப  நி ச க ச க ச நி ச க ச க ச நி ச க ச க ரே நி ச க ச ரி ப,2,மெல்லிசைபாடல்,8899
இமைக்கா நொடிகள்,கபிலன்,கிப்கொப் தமிழா,நீயும் நானும் அன்பே,2018,"['ரகு டிக்ஸித்', ' சத்யபிரகாஷ்', ' ஜிதின் ராஜ்']","நீயும் நானும் அன்பே கண்கள் கோர்த்துக்கொண்டு வாழ்வின் எல்லை சென்று ஒன்றாக வாழலாம்  ஆயுள் காலம் யாவும் அன்பே நீயே போதும் இமைகள் நான்கும் போர்த்தி இதமாய் நாம் தூங்கலாம்   (adsbygoogle = window.adsbygoogle || []).push({},);  நீயும் நானும் அன்பே கண்கள் கோர்த்துக்கொண்டு வாழ்வின் எல்லை சென்று ஒன்றாக வாழலாம்  என் பாதை நீ என் பாதம் நீ நான் போகும் தூரம் நீயடி  என் வானம் நீ என் பூமி நீ என் ஆதி அந்தம் நீயடி  என் பாதை நீ என் பாதம் நீ நான் போகும் தூரம் நீயடி  என் வானம் நீ என் பூமி நீ என் ஆதி அந்தம் நீயடி  நீயும் நானும் அன்பே கண்கள் கோர்த்துக்கொண்டு வாழ்வின் எல்லை சென்று ஒன்றாக வாழலாம்  தாய் மொழி போலே நீ வாழ்வை என்னில் உன் நிழல் பிரிந்தாலும் வீழ்வேன் மண்ணில் மின்மினி பூவே உன் காதல் கண்ணில் புதிதாய் கண்டேனே என்னை உன்னில்  தாமதமாய் உன்னை கண்ட பின்னும் தாய் மடியை வந்தாய் நான் தூங்கவே  நீயும் நானும் அன்பே கண்கள் கோர்த்துக்கொண்டு வாழ்வின் எல்லை சென்று ஒன்றாக வாழலாம்  உன் தேவையை நான் தீர்க்கவேய வெண்ணீரில் மீனை நீந்துவேன் உன் காதலை கடன் வாங்கியே என்னை நானே தாங்குவேன்  உன் பாதியும் என் மீதியும் ஒன்றே தான் என்று வாழ்கிறேன் உன் கண்களில் நீர் சிந்தினால் அப்போதே செத்து போகிறேன்  சாலை ஓர பூக்கள் சாய்ந்து நம்மை பார்க்க நாளை தேவை இல்லை பெண்ணே நாளும் வாழலாம்  நீயும் நானும் அன்பே கண்கள் கோர்த்துக்கொண்டு வாழ்வின் எல்லை சென்று ஒன்றாக வாழலாம்  என் பாதை நீ என் பாதம் நீ நான் போகும் தூரம் நீயடி  என் வானம் நீ என் பூமி நீ என் ஆதி அந்தம் நீயடி  என் பாதை நீ என் பாதம் நீ நான் போகும் தூரம் நீயடி   என் வானம் நீ என் பூமி நீ என் ஆதி அந்தம் நீயடி  நீயும் நானும் அன்பே கண்கள் கோர்த்துக்கொண்டு வாழ்வின் எல்லை சென்று ஒன்றாக வாழலாம்  நீயும் நானும் அன்பே கண்கள் கோர்த்துக்கொண்டு வாழ்வின் எல்லை சென்று ஒன்றாக வாழலாம்",3,கானாபாடல்,325
காளி,அருண் பாரதி,விஜய் அன்ரனி,நூறாய் யுகம் நூறாய்,2018,"['ஹேமசந்ரா', ' சங்கீதா ராஜேஸ்வரன்']",நூறாய் யுகம் நூறாய் உனக்காய் பிறப்பேன் கண்ணின் இமை போலே துணையாய் இருப்பேன் ஈடாய் உனக்கீடாய்  எதை நான் கொடுப்பேன் ஏதும் உனக்கென்றால் உயிரால் தடுப்பேன்  நீ கடவுளின் பரிசென கரங்களில் வர தவமென்ன புரிந்தேன் உனையிங்கு பெற வரமென கிடைத்தவள் உனக்கென்ன தர உடலுக்குள் இறங்கிடு உயிரினை பெற  நூறாய் யுகம் நூறாய் உனக்காய் பிறப்பேன் கண்ணின் இமை போலே துணையாய் இருப்பேன்  பள்ளம் சேரும் வெள்ளம் போலே உன்னை நிறைத்திடுவேன் தோழி செல்லம் கொஞ்சும் உந்தன் திமிரை கட்டி அணைத்திடுவேன்  உள்ளதாலும் உடலின் மீதும் உன்னை சுமந்திடுவேன் தோழா உலகம் அழியும் போதும் நானோ உன்னை நினைத்திடுவேன்  இதயத்தின் மைய பகுதியில் இருக்கை விரித்து அமர்ந்தாள் உலகத்தின் மொத்த மகிழ்ச்சியும் ஒருத்தி வடிவில் கொடுத்தாய்  உந்தன் மடியில் நிரந்தரமாக எனக்கிடம் கொடுத்தாய் தோழி தெய்வம் வந்து நின்றால் கூட திரும்பிட மறுப்பேன்  உனக்கு மட்டும் தானே எந்தன் இருதயம் துடிக்கும் தோழா உறங்கும் போதும் எந்த உதடோ உந்த பெயர் அழைக்கும்  உனக்குள்ளே என்னை புதைப்பதால் திரும்ப திரும்ப பிறப்பேன் வழித்துணை நீ இருப்பதால் இறுதி வரைக்கும் நடப்பேன்  நூறாய் யுகம் நூறாய் உனக்காய் பிறப்பேன் கண்ணின் இமை போலே துணையாய் இருப்பேன் ஈடாய் உனக்கீடாய் எதை நான் கொடுப்பேன் ஏதும் உனக்கென்றால் உயிரால் தடுப்பேன்   நீ கடவுளின் பரிசென கரங்களில் வர தவமென்ன புரிந்தேன் உனையிங்கு பெற வரமென கிடைத்தவள் உனக்கென்ன தர உடலுக்குள் இறங்கிடு உயிரினை பெற  நூறாய் யுகம் நூறாய் உனக்காய் பிறப்பேன் கண்ணின் இமை போலே துணையாய் இருப்பேன்,4,காதல்பாடல்,6420
நிமிர்,தாமரை,தர்புக சிவா,நெஞ்சில் மாமழை,2018,"['ஹரிசரன்', ' சுவேதா மோகன்']",நெஞ்சில் மாமழை நெஞ்சில் மாமழை தந்து வானம் கூத்தாட கொஞ்சும் தாமரை கொஞ்சும் தாமரை வந்து எங்கும் பூத்தாட    எத்தனை நாள் எத்தனை நாள் பார்ப்பது எட்டி நின்று எட்டி நின்று காய்வது கள்ள குரல் பாடல் உள்ளே ஓடுது கண்மூடி கண்மூடி காதோரம் பாடுது    நெஞ்சில் மாமழை நெஞ்சில் மாமழை தந்து வானம் கூத்தாட கொஞ்சும் தாமரை கொஞ்சும் தாமரை வந்து எங்கும் பூத்தாட   வாரத்தில் எத்தனை நாள் பார்ப்பது அன்றாடம் வந்து பார்க்க ஏங்குது வராமல் போகும் நாட்கள் வீண் என வம்பாக சண்டை போட வைக்குது   சொல்ல போனால் என் நாட்களை வண்ணம் பூசி தந்தவளும் நீதான் துள்ளல் இல்லா என் பார்வையில் தூண்டில் மீனாய் வந்தவளும் நீதான்   எத்தனை நாள் எத்தனை நாள் பார்ப்பது எட்டி நின்று எட்டி நின்று காய்வது கள்ள குரல் பாடல் உள்ளே ஓடுது கண்மூடி கண்மூடி காதோரம் பாடுது   நெஞ்சில் மாமழை நெஞ்சில் மாமழை தணந்து வானம் கூத்தாட பாசாங்கு செய்ததெல்லாம் போதுமே ராசாவை தேடி கண்கள் ஓடுமே ரோசாபூ மாலை ரெண்டு வேண்டுமே பேசாமல் மாட்டி கொள்ள தோன்றுமே    பெண்கள் இல்லா என் வீட்டிலே பாதம் வைத்து நீயும் வர வேண்டும் தேன்றளில்லா தோட்டத்தில் உன்னால் தானே காற்று வரும் மீண்டும்    எத்தனை நாள் எத்தனை நாள் பார்ப்பது எட்டி நின்று எட்டி நின்று காய்வது கள்ள குரல் பாடல் உள்ளே ஓடுது கண்மூடி கண்மூடி காதோரம் பாடுது    நெஞ்சில் மாமழை நெஞ்சில் மாமழை தந்து வானம் கூத்தாட கொஞ்சும் தாமரை கொஞ்சும் தாமரை வந்து எங்கும் பூத்தாட   எத்தனை நாள் எத்தனை நாள் பார்ப்பது எட்டி நின்று எட்டி நின்று காய்வது கள்ள குரல் பாடல் உள்ளே ஓடுது கண்மூடி கண்மூடி காதோரம் பாடுது,4,காதல்பாடல்,2601
அடங்கமறு,ஜுகபாரதி,சாம். சீ. எஸ்,பச்சை துரோகங்கள் சாகாமல்,2018,['ஹரிசரன்'],பச்சை துரோகங்கள் சாகாமல் பல்லை இழிக்கும் நாள் தூரம் எச்சில் சோர் உண்ணும் காகம் போல் தொடரும் நிலையே சேதாரம்  குற்றம் எங்கென்று தேடாமல் சட்டம் உறங்க கூடாதே மிச்சம் நீ என்று ஆனாலும் அடங்கி ஒடங்கி வாழாதே  உள்ளவை மொத்தமும் தாவென்று நாய்களும் பேய்களும் வாலாட்ட நல்லதை நம்பி நீ போர் செய்யும் தருணம் தருணம்  வஞ்சமும் நஞ்சமும் கை கோர்த்து நாடகம் ஓடுதே ஊரெல்லாம் சத்தியம் ஒன்று தான் உன் கையில் கவனம் கவனம்  ஆஅ ஊரையும் பேரையும் வாங்க வா போராட்டம் தீமையை தீயிலே போடவே ஆர்பாட்டம்  வளைந்து நெளிந்து கிடக்கும் வரைக்கும் கணக்கு வழக்கு தீராதே  நிமிர்ந்து எழுந்து உதைக்க தொடங்கு எதற்கும் பயந்து ஓடாதே  கொள்ளையும் தொல்லையும் கூட் என்று கூனி நீ போவது தீர்வில்லை வெற்றினம் கொண்டு நீ போரிட்டால் பணியும் ஜகமே  கல்லையும் மண்ணையும் போல் இங்கு வாழவே ஏங்கினால் தீங்கெல்லாம் உன்னையும் மண்ணிலே சாய்க்கின்ற நிலைமை வருமே  குற்றம் எங்கென்று தேடாமல் சட்டம் உறங்க கூடாதே மிச்சம் நீ என்று ஆனாலும் அடங்கி ஒடங்கி வாழாதே  தடத் தட்ட டா டாட் ஆ தடத் தட்ட டா டாட் ஆ,1,கானாபாடல்,3423
நிமிர்,வைரமுத்து,தர்புகா சிவா,​பூவுக்கு தாப்பா எதுக்கு,2018,['ஸ்வேதா மோகன்'],பூவுக்கு தாப்பா எதுக்கு? ஊருக்கு கதவா இருக்கு ? பூவுக்கு தாப்பா எதுக்கு? ஊருக்கு கதவா இருக்கு ?  வெளியெல்லாம் தொரந்தே கெடக்கு கிளி ஆக ஆசை எனக்கு வெளியெல்லாம் தொரந்தே கெடக்கு  கிளி ஆக ஆசை எனக்கு இலவச வெயில் வந்து விழுமே என்னை இதமாய் தொடுமே பூங்காத்தையே வனம் வடிக்கட்டி அனுப்பிடுமே மழை மழை மழை துளி விழுமே என் மர்மம் தொடுமே  தலை ஈரத்தை ஒரு துண்டு மேகம் துவட்டிடுமே ஓடை எங்கள் தாய்ப்பால் இந்த ஊரும் மண்ணும் தாய்மடி இங்கே இல்லை நோய் நொடி இந்த இடம் நல்ல இடம் இது எந்தன் தலை நகரம்  பூவுக்கு தாப்பா எதுக்கு? ஊருக்கு கதவா இருக்கு ? பூவுக்கு தாப்பா எதுக்கு? ஊருக்கு கதவா இருக்கு ?  வெளியெல்லாம் தொரந்தே கெடக்கு கிளி ஆக ஆசை எனக்கு வெளியெல்லாம் தொரந்தே கெடக்கு கிளி ஆக ஆசை எனக்கு   சொத்து சுகம் தேடுகிற மனசா இந்த சொகமே வருமா ? பணம் காசெல்லாம் இந்த பனி துளி விலை பெருமா? வெட்டவெளி பொழப்புக்கு தானே மனம் ஏங்கி கிடக்கு ஆகாயமே  இங்க அக்கம் பக்கம் வந்து கிடக்கு பட்டாம்பூச்சி பிடிக்க நாம் பதுங்கி மெல்ல போகலாம் அது பறக்கும் போது தோற்க்கலாம் மனிதரை மறந்தொரு பறவையின் வரம் பெறலாம்  பூவுக்கு தாப்பா எதுக்கு? ஊருக்கு கதவா இருக்கு ? பூவுக்கு தாப்பா எதுக்கு? ஊருக்கு கதவா இருக்கு ?  வெளியெல்லாம் தொரந்தே கெடக்கு கிளி ஆக ஆசை எனக்கு வெளியெல்லாம் தொரந்தே கெடக்கு கிளி ஆக ஆசை எனக்கு,3,குத்துபாடல்,3232
ஜுங்கா,லலிதானந்,சித்தர்த் விபின்,மக்கள் செல்வன்,2018,"['சுரஜ் ஜெகன்', ' ஜெயகணேஷ் குமார்']", ,3,குத்துபாடல்,1079
மாரி 2,ஜுவன் சங்கர் ராஜா,ஜுவன் சங்கர் ராஜா,மாரி கெத்து,2018,"['சின்ன பொண்ணு', ' தனுஷ்', ' ஜுவன் சங்கர் ராஜா', ' டீ']",ஏய் பிகிலு அடிச்சா செவுலு பிரியும் மாஞ்ச வுட்டா டீலு கிழியும் மாரி ஒன்னு சொழட்டி வெச்சா மம்மி டாடி பேஸ் தெரியும்  ஏய் பிகிலு அடிச்சா செவுலு பிரியும் மாஞ்ச வுட்டா டீலு கிழியும் மாரி ஒன்னு சொழட்டி வெச்சா மம்மி டாடி பேஸ் தெரியும்  செல்வாக்கு செல்லாது உன் பப்பு வேவாது தனிக்காட்டு ராஜா டா  நம்மாளு ஏய் நம்மாளு  நீ ப்ரண்ட்ஸிப்பா வந்தாக்கா உண்மையா இருந்தாக்கா உசுரையே தருவான்டா  நம்மாளு ஏய் நம்மாளு  செல்வாக்கு செல்லாது உன் பப்பு வேவாது தனிக்காட்டு ராஜா டா நம்மாளு ஏய் நம்மாளு  நீ ப்ரண்ட்ஸிப்பா வந்தாக்கா உண்மையா இருந்தாக்கா உசுரையே தருவான்டா  நம்மாளு ஏய் நம்மாளு  மாரி நீ நல்லவரா கெட்டவரா தெரியலையே பா  ஹே விலகி விலகி விலகி விலகி ஓரம் போடா போடா ஓ வயிறு எரிஞ்ச தண்ணி ஊத்தி தூரம் போடா போடா  ஏய் நாங்க வேற மாறி இவன் எங்க ஆளு மாரி ஏய் மாரி ஏய் மாரி ஏய் மாரி  கட கட கக் காடா நட நட நன்னாட நிகரிகர் இங்கில்ல இளைஞரின்பட  பட பட பப்பாட நொறுங்கிடும் தட்டாட இங்க வந்து நீ நீயும் சுடாதடா வட  ஏய் ஏறிடுச்சு ஏய் துர்ர்ரர் மாஸ்சு ஏறிடுச்சு கிரேசு ஏறிடுச்சு  வேஷம் போடாத வேட்டி கிழிஞ்சிருச்சு    மாட்டிகிச்சு ம ம ம ம ம ம ம ம மேட்டர் மாட்டிகிச்சு ஸ்கெட்சு மாட்டிகிச்சு  பிளானு கிளான்னு எல்லாம் காத்துல பிச்சிகிச்சு  என்னோடது எல்லாம் உன்து நண்பா கேட்டது எல்லாம் நான் கொடுப்பேன் என்னாண்ட ஒன்னும் இல்ல நண்பா தோளோடு தோழனா நான் இருப்பேன்  ஹே விலகி விலகி விலகி விலகி ஓரம் போடா போடா ஓ வயிறு எரிஞ்ச தண்ணி ஊத்தி தூரம் போடா போடா  ஏய் நாங்க வேற மாறி இவன் எங்க ஆளு மாரி ஏய் மாரி ஏய் மாரி ஏய் மாரி  ஏய் மாரி கெத்து ஏய் மாரி கெத்து ஏய் ஓரம் ஒத்தே ஓரம் ஒத்தே  ஏய் கெத்து ஏய் கெத்து ஏய் ஒத்தே ஏய் ஒத்தே ஜிந்தா ஜிந்தா ஜிந்தா ஜிந்தா ஜிந்தா ஜிந்தா ஜிந்தா ஜிந்தா  ஏய் பிகிலு அடிச்சா செவுலு பிரியும் மாஞ்ச வுட்டா டீலு கிழியும் மாரி ஒன்னு சொழட்டி வெச்சா மம்மி டாடி பேஸ் தெரியும்  யாரு எடத்துல வந்து யாரு சீன் போடுறது,5,கானாபாடல்,6614
